method,track,outer_target,policy,mask_replicate,mean_observed_fraction,n,prevalence,roc_auc,average_precision,log_loss,balanced_log_loss,brier,balanced_brier,accuracy,balanced_accuracy,f1,precision,recall,sensitivity_at_80_specificity,calibration_intercept,calibration_slope,aurc
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,6,0.6804252657911195,123.0,0.9349593495934959,0.758695652173913,0.9711989480907882,0.5160329623606332,0.5989008340312141,0.17228166271382764,0.20671306779056167,0.7317073170731707,0.6820652173913043,0.8374384236453202,0.9659090909090909,0.7391304347826086,0.46956521739130436,2.59399335608905,0.8888423278443739,0.13229239302516668
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,7,0.673545966228893,123.0,0.9349593495934959,0.7847826086956522,0.9741448385858518,0.558828962796018,0.5690931837145352,0.1887658355656562,0.1909537624363669,0.6910569105691057,0.7184782608695652,0.8061224489795918,0.9753086419753086,0.6869565217391305,0.6,2.7303846554918825,0.9060322587891574,0.16944742061372217
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,8,0.6791744840525329,123.0,0.9349593495934959,0.7282608695652173,0.9658348741051032,0.5496744659023071,0.643372094716666,0.18760544289759082,0.22538554054680537,0.6991869918699187,0.6646739130434782,0.8140703517587939,0.9642857142857143,0.7043478260869566,0.43478260869565216,2.5911866179553233,0.7771116017757349,0.1456835297333256
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,empirical_source,9,0.7029393370856786,123.0,0.9349593495934959,0.7402173913043478,0.9698809484062465,0.5298387696834349,0.6186294277967449,0.17827667474134617,0.21388662746169637,0.7154471544715447,0.6733695652173913,0.8258706467661692,0.9651162790697675,0.7217391304347827,0.4434782608695652,2.574048584736991,0.8136607354497716,0.14232500876444842
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,0,0.5609756097560977,123.0,0.9349593495934959,0.692391304347826,0.9647353670447388,0.5293492193432959,0.6838043975029894,0.17721753041351435,0.2427268603896972,0.7317073170731707,0.6239130434782609,0.8390243902439024,0.9555555555555556,0.7478260869565218,0.43478260869565216,2.500466996371983,0.6920477574651323,0.1408289864874713
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,1,0.5691056910569106,123.0,0.9349593495934959,0.7489130434782609,0.9711509590314866,0.5109118588071552,0.6159946272713116,0.16652615782534416,0.20821647084031333,0.7560975609756098,0.6951086956521739,0.8543689320388349,0.967032967032967,0.7652173913043478,0.3391304347826087,2.5133473126377424,0.7954682163105565,0.15649429350988556
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,2,0.5378361475922453,123.0,0.9349593495934959,0.7956521739130435,0.9825900682875076,0.5640041248672102,0.5662213143157514,0.19262119658148788,0.19825802675788054,0.7154471544715447,0.6733695652173913,0.8258706467661692,0.9651162790697675,0.7217391304347827,0.6173913043478261,2.684684161799261,0.8382801120824714,0.15722303998445078
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,3,0.5528455284552847,123.0,0.9349593495934959,0.8108695652173914,0.983165901376052,0.4908915307220117,0.5269142633781115,0.15799395311636483,0.17745795327621686,0.8048780487804879,0.7211956521739131,0.8867924528301887,0.9690721649484536,0.8173913043478261,0.5652173913043478,2.569500604639181,0.9630897738810839,0.13256356503249728
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,4,0.5641025641025642,123.0,0.9349593495934959,0.7402173913043478,0.9640070324152261,0.5202148982227516,0.6267091599919876,0.1726461465102275,0.21325141442097745,0.7479674796747967,0.6907608695652174,0.848780487804878,0.9666666666666667,0.7565217391304347,0.4782608695652174,2.5397993401593673,0.7918993573363196,0.14670426114748258
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,5,0.5634771732332706,123.0,0.9349593495934959,0.7934782608695652,0.9805069587240981,0.5033682152609386,0.56268865663998,0.16843922838485673,0.1960747304907044,0.7235772357723578,0.6777173913043478,0.8316831683168316,0.9655172413793104,0.7304347826086957,0.5826086956521739,2.6048998255812825,0.9648237984675916,0.11396144733903896
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,6,0.5616010006253908,123.0,0.9349593495934959,0.7423913043478261,0.9685432934999646,0.5040171495020177,0.6131539036977377,0.16620271837122583,0.20950228934298817,0.7886178861788617,0.7125,0.8761904761904762,0.968421052631579,0.8,0.4956521739130435,2.519022825611699,0.8384330734100229,0.12631092820255752
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,7,0.5641025641025641,123.0,0.9349593495934959,0.75,0.9700357190588639,0.5557879326175125,0.5970755644217461,0.19010836277847576,0.20525767299691305,0.6991869918699187,0.7228260869565217,0.8121827411167513,0.975609756097561,0.6956521739130435,0.46956521739130436,2.702717809875799,0.9459522696864996,0.1610408951544231
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,8,0.5728580362726706,123.0,0.9349593495934959,0.7543478260869565,0.97727183187313,0.5439097991049465,0.6230382929822045,0.18412971494064775,0.22483662619239447,0.6991869918699187,0.6065217391304347,0.8159203980099502,0.9534883720930233,0.7130434782608696,0.43478260869565216,2.595325444598333,0.7479610345094133,0.14285775577720286
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mar_age_sex_30,9,0.5616010006253909,123.0,0.9349593495934959,0.7815217391304348,0.9775960237289198,0.5287698647333021,0.5821021463608357,0.17591636928996016,0.2009625373159707,0.7479674796747967,0.6907608695652174,0.848780487804878,0.9666666666666667,0.7565217391304347,0.6869565217391305,2.5857879334574188,0.8297644772042846,0.14287804502144014
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mcar_10,0,0.6766729205753595,123.0,0.9349593495934959,0.766304347826087,0.971894254511555,0.5480569368203847,0.5957613786339158,0.1820111568154343,0.19983017753514562,0.7479674796747967,0.7489130434782609,0.8472906403940886,0.9772727272727273,0.7478260869565218,0.5043478260869565,2.620248071468828,0.7853337362526522,0.17090882162252602
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mcar_10,1,0.679799874921826,123.0,0.9349593495934959,0.6804347826086956,0.9630405852069079,0.5570146249511644,0.6966054984813903,0.1877316693580643,0.24237082860984788,0.7317073170731707,0.6239130434782609,0.8390243902439024,0.9555555555555556,0.7478260869565218,0.2782608695652174,2.502287841689132,0.5641108930330238,0.16045766720635724
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mcar_10,2,0.6785490931832395,123.0,0.9349593495934959,0.7260869565217392,0.9676026854310795,0.530353984179575,0.6260473838139942,0.177489685433927,0.21498766298634403,0.7317073170731707,0.7402173913043478,0.835820895522388,0.9767441860465116,0.7304347826086957,0.43478260869565216,2.530691807366082,0.7438249834352539,0.1452953831757533
neural:v5_attention_equal_budget,dg_zero_shot,switzerland,mcar_10,3,0.6885553470919324,123.0,0.9349593495934959,0.7760869565217392,0.9786695366912118,0.5329600584388157,0.5834542081548245,0.18120943677026222,0.205541965755372,0.7073170731707317,0.6690217391304347,0.82,0.9647058823529412,0.7130434782608696,0.48695652173913045,2.643870432313931,0.8918137662197689,0.13199306448703937
