revision,mechanism,batch_size,nominal_latent_prevalence,acceptance_rate,realized_latent_prevalence,episodes,affected_probability,expected_affected_rows,probability_fewer_than_five_affected
v1_learned_mean,conditional_translation,512,0.95,0.0,0.9490234375,10,0.95,486.4,0.0
v1_learned_mean,covariance_shear,32,0.05,1.0,0.059375,10,0.05,1.6,0.9796461008175357
v1_learned_mean,covariance_shear,32,0.1,1.0,0.09375,10,0.1,3.2,0.7885017113006723
v1_learned_mean,covariance_shear,32,0.15,1.0,0.140625,10,0.15,4.8,0.46435845540553466
v1_learned_mean,covariance_shear,32,0.2,1.0,0.171875,10,0.2,6.4,0.20438390048601698
v1_learned_mean,covariance_shear,32,0.25,1.0,0.2375,10,0.25,8.0,0.06975738881925805
v1_learned_mean,covariance_shear,32,0.3,1.0,0.2890625,20,0.3,9.6,0.018879066424117928
v1_learned_mean,covariance_shear,32,0.35,1.0,0.325,10,0.35,11.2,0.004081856372083048
v1_learned_mean,covariance_shear,32,0.4,1.0,0.375,10,0.4,12.8,0.0007016051043794906
v1_learned_mean,covariance_shear,32,0.45,1.0,0.434375,10,0.45,14.4,9.433888479061587e-05
v1_learned_mean,covariance_shear,32,0.5,1.0,0.509375,10,0.5,16.0,9.650597348809242e-06
v1_learned_mean,covariance_shear,32,0.55,1.0,0.584375,10,0.55,17.6,7.201789402736721e-07
v1_learned_mean,covariance_shear,32,0.6,1.0,0.553125,10,0.6,19.2,3.68847259439842e-08
v1_learned_mean,covariance_shear,32,0.65,1.0,0.684375,10,0.65,20.8,1.1862129577604564e-09
v1_learned_mean,covariance_shear,32,0.7,1.0,0.684375,10,0.7,22.4,2.0970850238283543e-11
v1_learned_mean,covariance_shear,32,0.75,1.0,0.740625,10,0.75,24.0,1.6540810604884215e-13
v1_learned_mean,covariance_shear,32,0.8,1.0,0.790625,10,0.8,25.6,4.093647146450914e-16
v1_learned_mean,covariance_shear,32,0.85,1.0,0.828125,10,0.85,27.2,1.6393785917991556e-19
v1_learned_mean,covariance_shear,32,0.9,1.0,0.90625,10,0.9,28.8,2.3958986499999816e-24
v1_learned_mean,covariance_shear,32,0.95,1.0,0.95,10,0.95,30.4,1.0990871733520452e-32
v1_learned_mean,covariance_shear,64,0.05,1.0,0.059375,10,0.05,3.2,0.7843570436086973
v1_learned_mean,covariance_shear,64,0.1,1.0,0.1078125,10,0.1,6.4,0.22046890416045262
v1_learned_mean,covariance_shear,64,0.15,1.0,0.140625,10,0.15,9.6,0.027971389925458848
v1_learned_mean,covariance_shear,64,0.2,1.0,0.1765625,10,0.2,12.8,0.0020563392966268445
v1_learned_mean,covariance_shear,64,0.25,1.0,0.2640625,10,0.25,16.0,9.720959483087329e-05
v1_learned_mean,covariance_shear,64,0.3,1.0,0.31328125,20,0.3,19.2,3.0632328762810027e-06
v1_learned_mean,covariance_shear,64,0.35,1.0,0.34375,10,0.35,22.4,6.434023677560167e-08
v1_learned_mean,covariance_shear,64,0.4,1.0,0.3796875,10,0.4,25.6,8.791057034367629e-10
v1_learned_mean,covariance_shear,64,0.45,1.0,0.4578125,10,0.45,28.8,7.466226553523213e-12
v1_learned_mean,covariance_shear,64,0.5,1.0,0.4859375,10,0.5,32.0,3.681522317902641e-14
v1_learned_mean,covariance_shear,64,0.55,1.0,0.5453125,10,0.55,35.2,9.568125603265461e-17
v1_learned_mean,covariance_shear,64,0.6,1.0,0.565625,10,0.6,38.4,1.1439748724094953e-19
v1_learned_mean,covariance_shear,64,0.65,1.0,0.65625,10,0.65,41.6,5.1788012746573165e-23
v1_learned_mean,covariance_shear,64,0.7,1.0,0.6984375,10,0.7,44.8,6.652492221769527e-27
v1_learned_mean,covariance_shear,64,0.75,1.0,0.7265625,10,0.75,48.0,1.546031358487146e-31
v1_learned_mean,covariance_shear,64,0.8,1.0,0.80625,10,0.8,51.2,3.050266254695374e-37
v1_learned_mean,covariance_shear,64,0.85,1.0,0.84375,10,0.85,54.4,1.233733741727586e-44
v1_learned_mean,covariance_shear,64,0.9,1.0,0.903125,10,0.9,57.6,4.199238864999933e-55
v1_learned_mean,covariance_shear,64,0.95,1.0,0.9421875,10,0.95,60.8,4.504282042023015e-73
v1_learned_mean,covariance_shear,128,0.05,1.0,0.04453125,10,0.05,6.4,0.22793974409833231
v1_learned_mean,covariance_shear,128,0.1,1.0,0.1046875,10,0.1,12.8,0.0030718357305998976
v1_learned_mean,covariance_shear,128,0.15,1.0,0.15703125,10,0.15,19.2,1.1547557243481725e-05
v1_learned_mean,covariance_shear,128,0.2,1.0,0.19140625,10,0.2,25.6,1.8734422633692198e-08
