method,outer_target,policy,mask_replicate,class_0_n,class_0_log_loss,class_1_n,class_1_log_loss,balanced_log_loss
classical:catboost:site_class_balanced,cleveland,mcar_10,6,164,0.6887132893209079,139,0.4016173636705425,0.5451653264957252
classical:catboost:site_class_balanced,cleveland,mcar_10,7,164,0.6885993161318078,139,0.3584768047593207,0.5235380604455643
classical:catboost:site_class_balanced,cleveland,mcar_10,8,164,0.7455127273240243,139,0.4117076475025572,0.5786101874132907
classical:catboost:site_class_balanced,cleveland,mcar_10,9,164,0.6707451032964236,139,0.3971125275882989,0.5339288154423613
classical:catboost:site_class_balanced,cleveland,mcar_30,0,164,0.8051560064061345,139,0.3869717791746191,0.5960638927903767
classical:catboost:site_class_balanced,cleveland,mcar_30,1,164,0.8830213566372911,139,0.36571714654173326,0.6243692515895122
classical:catboost:site_class_balanced,cleveland,mcar_30,2,164,0.9597460750603274,139,0.3253949463352594,0.6425705106977934
classical:catboost:site_class_balanced,cleveland,mcar_30,3,164,0.8764648619704073,139,0.3969911810274241,0.6367280214989157
classical:catboost:site_class_balanced,cleveland,mcar_30,4,164,0.8813902189677684,139,0.3427441005434691,0.6120671597556188
classical:catboost:site_class_balanced,cleveland,mcar_30,5,164,0.856023632104897,139,0.3676911367784509,0.6118573844416739
classical:catboost:site_class_balanced,cleveland,mcar_30,6,164,0.9163323257355921,139,0.3696542014918095,0.6429932636137008
classical:catboost:site_class_balanced,cleveland,mcar_30,7,164,0.8850763001576033,139,0.32704132626417326,0.6060588132108883
classical:catboost:site_class_balanced,cleveland,mcar_30,8,164,0.8763861568066738,139,0.3651418093826995,0.6207639830946866
classical:catboost:site_class_balanced,cleveland,mcar_30,9,164,0.9502625195991616,139,0.37369681385116243,0.6619796667251621
classical:catboost:site_class_balanced,cleveland,mcar_50,0,164,1.060440551163896,139,0.3453290435678451,0.7028847973658705
classical:catboost:site_class_balanced,cleveland,mcar_50,1,164,1.0803599301772009,139,0.335569678297546,0.7079648042373734
classical:catboost:site_class_balanced,cleveland,mcar_50,2,164,0.9801325051548785,139,0.3871169355005452,0.6836247203277118
classical:catboost:site_class_balanced,cleveland,mcar_50,3,164,1.0295218564043986,139,0.301698850659146,0.6656103535317723
classical:catboost:site_class_balanced,cleveland,mcar_50,4,164,1.110136235594279,139,0.3133392231191059,0.7117377293566924
classical:catboost:site_class_balanced,cleveland,mcar_50,5,164,1.0394880364692374,139,0.35325620274742187,0.6963721196083297
classical:catboost:site_class_balanced,cleveland,mcar_50,6,164,1.0583616604787047,139,0.3451923537293039,0.7017770071040044
classical:catboost:site_class_balanced,cleveland,mcar_50,7,164,1.0676674926484375,139,0.3932378991245755,0.7304526958865065
classical:catboost:site_class_balanced,cleveland,mcar_50,8,164,1.1473769049769607,139,0.3259765679286982,0.7366767364528295
